INFO 2024-11-28 04:03:09,147 consumers New WebSocket connection: admin
INFO 2024-11-28 04:03:09,153 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:03:09,164 consumers New WebSocket connection: admin
INFO 2024-11-28 04:03:17,409 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:03:17,649 consumers New WebSocket connection: admin
INFO 2024-11-28 04:03:17,661 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:03:17,662 consumers New WebSocket connection: admin
INFO 2024-11-28 04:03:24,285 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:03:24,541 consumers New WebSocket connection: admin
INFO 2024-11-28 04:03:24,547 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:03:24,560 consumers New WebSocket connection: admin
INFO 2024-11-28 04:05:39,349 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:05:39,485 consumers New WebSocket connection: admin
INFO 2024-11-28 04:05:39,495 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:05:39,497 consumers New WebSocket connection: admin
INFO 2024-11-28 04:05:51,262 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:05:51,311 consumers New WebSocket connection: admin
INFO 2024-11-28 04:05:51,318 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:05:51,330 consumers New WebSocket connection: admin
INFO 2024-11-28 04:05:58,233 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:05:58,297 consumers New WebSocket connection: admin
INFO 2024-11-28 04:05:58,303 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:05:58,318 consumers New WebSocket connection: admin
INFO 2024-11-28 04:07:37,685 consumers WebSocket connection closed: admin
INFO 2024-11-28 15:15:45,456 consumers New WebSocket connection: 
INFO 2024-11-28 15:15:45,459 consumers New WebSocket connection: 
INFO 2024-11-28 15:15:45,462 consumers WebSocket connection closed: 
INFO 2024-11-28 15:15:45,464 consumers WebSocket connection closed: 
INFO 2024-11-28 15:15:45,635 consumers New WebSocket connection: 
INFO 2024-11-28 15:15:45,638 consumers WebSocket connection closed: 
INFO 2024-11-28 15:15:45,658 consumers New WebSocket connection: 
INFO 2024-11-28 15:15:45,661 consumers WebSocket connection closed: 
INFO 2024-11-28 15:31:18,559 views AttendanceRecord does not exist
INFO 2024-11-28 15:31:18,586 views AttendanceRecord does not exist
INFO 2024-11-28 15:31:18,592 consumers New WebSocket connection: admin
INFO 2024-11-28 15:31:18,598 consumers New WebSocket connection: admin
INFO 2024-11-28 15:31:18,612 consumers WebSocket connection closed: admin
